our_company_id,store_name,sl_merchant_name,domain,city,state,sl_country,sl_location,icp_tier,has_email_already,num_phones,primary_phone,additional_phones
d8e1a3fc-f0ff-4fcc-b282-00a5b0b9bee6,#SmallTownGirl Boutique,,smalltowngirl.boutique,Bradford,Pennsylvania,,,,yes,0,,
07dadf26-4f50-44de-b832-ff13e6b665e8,*Sisters* Clothing Collective,*Sisters* Clothing Collective,sistersclothingcollective.com,Eureka,California,US,"Eureka, CA, USA",,yes,1,(707) 499-7685,
aaae429f-c45a-4e2f-ab28-22a8ccf978fe,1 Happy Girl,1 Happy Girl,1happygirl.com,Lemont,Illinois,US,"Lemont, IL, USA",,no,2,630-243-1579,(815) 854-4638
2093d5d3-1e36-457f-ae19-3861a0736628,10 Hours of Fashion Boutique,,10hoursoffashion.net,Cedar Hill,Texas,,,,yes,1,+1 817-823-7507,
f59663ea-da28-48a3-bf43-2923bf18af7a,100 Thieves,100 Thieves,100thieves.com,Moreno Valley,Active,US,"Moreno Valley, CA, USA",,yes,0,,
49a7a04a-2f31-46c6-acb3-ba0962dc25c0,11 roses boutique,,11rosesboutique.com,Clovis,California,,,,yes,0,,
dda6fe38-2d7d-4cbb-819d-f2f612f4693d,12 West Boutiques,,12westboutiques.com,Malvern,Pennsylvania,,,,yes,1,+1 610-644-2400,
76ff7991-9a51-45d1-8774-723c71e03861,121 West Boutique,,shop121west.com,New Castle,Delaware,,,,yes,0,,
5098dcb6-7138-4d67-9170-4c1fe01bedc7,123prom,123prom,123prom.com,New Bedford,Massachusetts,US,"New Bedford, MA, USA",,yes,2,+1 (814) 613-7428,+447460992682
5012d4b9-e955-4528-abb0-54d7035e57d2,128,128,shop128clothing.com,Haleyville,Alabama,US,"Haleyville, AL 35565, USA",,yes,0,,
d9fba9b0-096a-413b-8e03-ce571ce409e7,16-levels,16-levels,6teenlevels.com,Smyrna,Georgia,US,"Smyrna, GA, USA",,yes,0,,
3afb3d03-c4cf-4608-a86e-5c09192265a5,1611 by Parable,1611 by Parable,1611byparable.com,Los Alamitos,California,US,"Los Alamitos, CA, USA",,yes,0,,
